"capture" "gender" "age" "reason" "nation"
"1" 1 1 1 0 "North Africa"
"2" 1 1 1 0 "North Africa"
"3" 1 1 1 0 "North Africa"
"4" 1 1 1 0 "Asia"
"5" 1 1 1 0 "Asia"
"6" 2 1 1 0 "North Africa"
"7" 1 1 1 0 "Asia"
"8" 1 1 1 0 "North Africa"
"9" 1 1 1 0 "North Africa"
"10" 1 1 1 0 "Asia"
"11" 1 1 1 0 "Asia"
"12" 1 1 1 0 "North Africa"
"13" 1 1 1 0 "Rest of Africa"
"14" 1 1 1 0 "North Africa"
"15" 1 1 1 0 "North Africa"
"16" 4 1 1 0 "Asia"
"17" 1 1 1 0 "North Africa"
"18" 1 1 1 0 "North Africa"
"19" 1 1 1 1 "Asia"
"20" 1 1 1 0 "North Africa"
"21" 1 1 1 0 "Asia"
"22" 1 1 1 0 "North Africa"
"23" 1 1 1 0 "North Africa"
"24" 1 1 1 1 "Rest of Africa"
"25" 1 1 1 0 "North Africa"
"26" 1 1 1 0 "North Africa"
"27" 1 1 1 0 "North Africa"
"28" 1 1 0 0 "Rest of Africa"
"29" 1 1 0 0 "Rest of Africa"
"30" 1 1 1 0 "North Africa"
"31" 1 1 1 0 "North Africa"
"32" 1 1 1 0 "Turkey"
"33" 1 1 1 0 "Turkey"
"34" 1 1 1 0 "Rest of Africa"
"35" 1 1 1 0 "Rest of Africa"
"36" 1 1 0 0 "Rest of Africa"
"37" 1 1 1 0 "Rest of Africa"
"38" 1 1 1 0 "Rest of Africa"
"39" 1 1 1 0 "Asia"
"40" 1 1 1 0 "Asia"
"41" 1 1 1 0 "North Africa"
"42" 1 1 1 0 "North Africa"
"43" 1 1 1 0 "Turkey"
"44" 1 1 1 0 "Surinam"
"45" 2 1 1 1 "North Africa"
"46" 2 1 1 0 "North Africa"
"47" 1 1 0 0 "Rest of Africa"
"48" 1 1 1 0 "Rest of Africa"
"49" 1 1 0 0 "American and Australia"
"50" 1 1 1 0 "Surinam"
"51" 1 1 1 0 "Rest of Africa"
"52" 1 1 1 1 "North Africa"
"53" 1 1 1 0 "Asia"
"54" 1 1 1 0 "Asia"
"55" 1 1 1 1 "Asia"
"56" 1 1 1 0 "North Africa"
"57" 1 1 1 1 "North Africa"
"58" 1 1 0 0 "American and Australia"
"59" 1 1 1 0 "Asia"
"60" 1 1 1 0 "North Africa"
"61" 1 1 0 0 "Rest of Africa"
"62" 1 1 1 0 "North Africa"
"63" 1 1 1 0 "Rest of Africa"
"64" 2 1 1 0 "Turkey"
"65" 1 1 1 0 "North Africa"
"66" 1 1 0 1 "Rest of Africa"
"67" 1 1 1 1 "Rest of Africa"
"68" 1 1 1 0 "North Africa"
"69" 1 1 0 0 "American and Australia"
"70" 1 1 1 0 "North Africa"
"71" 1 1 1 0 "North Africa"
